code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
RBLG11,Logística,"R$ 92,00",1.0,"R$ 0,88","0,96%","2,83%","-1,31%","0,92","0,00%",N/A
RBOP11,Outros,"R$ 421,00",121.0,"R$ 8,25","1,97%","1,97%","0,00%","0,55","0,00%",N/A
RBRD11,Híbrido,"R$ 33,55",438.0,"R$ 0,32","0,98%","2,85%","-3,41%","0,51","15,52%",N/A
RBRF11,Títulos e Val. Mob.,"R$ 64,61",36181.0,"R$ 0,63","0,98%","2,92%","0,97%","0,78",N/A,N/A
RBRL11,Logística,"R$ 69,75",4022.0,"R$ 0,58","0,83%","2,53%","-4,84%","0,66","0,00%","0,00%"
RBRP11,Outros,"R$ 44,30",15181.0,"R$ 0,27","0,61%","1,79%","-2,68%","0,56","13,00%","6,00%"
RBRR11,Títulos e Val. Mob.,"R$ 86,94",44216.0,"R$ 1,00","1,15%","3,41%","2,04%","0,92",N/A,N/A
RBRS11,Híbrido,"R$ 50,80",38.0,"R$ 0,40","0,80%","2,29%","-6,04%","0,54",N/A,N/A
RBRY11,Títulos e Val. Mob.,"R$ 91,89",8280.0,"R$ 1,25","1,36%","3,84%","-2,41%","0,92",N/A,N/A
RBTS11,Outros,"R$ 1.121,00",20.0,"R$ 30,64","0,00%",N/A,"0,00%","1,02",N/A,N/A
RBVA11,Outros,"R$ 90,83",5037.0,"R$ 0,95","1,05%","3,09%","-1,55%","0,84","0,70%",N/A
RBVO11,Outros,"R$ 8,91",22.0,"R$ 0,01","0,11%","0,43%","-4,56%","0,52",N/A,N/A
RCRB11,Lajes Corporativas,"R$ 110,00",3265.0,"R$ 0,74","0,68%","1,97%","-4,69%","0,53","28,40%",N/A
RDPD11,Títulos e Val. Mob.,"R$ 23,35",22605.0,"R$ 0,39","1,67%","4,26%","-13,70%","0,91",N/A,N/A
RECR11,Títulos e Val. Mob.,"R$ 76,34",55120.0,"R$ 1,26","1,64%","3,88%","-8,49%","0,80",N/A,N/A
RECT11,Híbrido,"R$ 49,55",11565.0,"R$ 0,54","1,08%","3,19%","-2,53%","0,53","15,10%",N/A
RECX11,Outros,"R$ 65,50",33.0,"R$ 0,70","1,08%","2,17%","0,86%","0,84",N/A,N/A
RELG11,Híbrido,"R$ 51,04",2924.0,"R$ 0,70","0,99%","1,98%","0,40%","0,42","10,40%","10,40%"
RFOF11,Títulos e Val. Mob.,"R$ 64,30",1262.0,"R$ 0,70","1,05%","3,09%","-0,49%","0,84",N/A,N/A
RMAI11,Lajes Corporativas,"R$ 45,80",36.0,"R$ 0,26","0,55%","1,58%","-4,08%","0,46","23,44%",N/A
RNDP11,Títulos e Val. Mob.,"R$ 118,00",50.0,"R$ 0,74","0,62%","1,36%","-24,22%","0,64",N/A,N/A
RNGO11,Lajes Corporativas,"R$ 48,39",292.0,"R$ 0,43","0,91%","2,72%","0,64%","0,56","24,10%",N/A
RRCI11,Títulos e Val. Mob.,"R$ 77,83",3488.0,"R$ 1,00","1,25%","3,54%","-4,92%","0,86",N/A,N/A
RSPD11,Residencial,"R$ 10,02",103.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,02",20507.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,02",22773.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",42904.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",45627.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",25802.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",31960.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,05",31636.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",44516.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RURA11,,"R$ 10,20",63688.0,"R$ 0,09","0,86%","2,86%","0,00%",N/A,N/A,N/A
RVBI11,Títulos e Val. Mob.,"R$ 69,95",1286.0,"R$ 0,75","1,05%","3,21%","3,04%","0,86",N/A,N/A
RZAG11,Títulos e Val. Mob.,"R$ 9,08",238398.0,"R$ 0,11","1,21%","3,72%","-6,89%","0,95",N/A,N/A
RZAK11,Títulos e Val. Mob.,"R$ 91,21",20674.0,"R$ 1,20","1,30%","2,52%","-6,43%","0,98",N/A,N/A
RZTR11,Híbrido,"R$ 82,11",26510.0,"R$ 0,85","1,06%","3,00%","-5,02%","0,85",N/A,N/A
SADI11,Títulos e Val. Mob.,"R$ 83,98",2273.0,"R$ 1,03","1,17%","3,52%","-3,01%","0,86",N/A,N/A
SARE11,Híbrido,"R$ 55,93",17218.0,"R$ 0,62","1,12%","3,22%","-9,38%","0,60","6,20%",N/A
SCPF11,Shoppings,"R$ 5,00",477.0,"R$ 0,05","0,91%","0,91%","0,00%","0,43","29,30%",N/A
SDIL11,Logística,"R$ 87,00",14252.0,"R$ 0,83","0,95%","2,77%","-2,39%","0,89","2,60%",N/A
SEQR11,Outros,"R$ 59,32",1358.0,"R$ 0,69","1,16%","3,46%","-1,51%","0,63","0,00%",N/A
SEQR11,Outros,"R$ 59,32",1358.0,"R$ 0,69","1,16%","3,46%","-1,56%","0,63","0,00%",N/A
SHPH11,Shoppings,"R$ 639,99",144.0,"R$ 3,40","0,51%","1,49%","1,37%","0,71","10,80%",N/A
SNAG11,Títulos e Valores Mobiliários,"R$ 101,00",8748.0,"R$ 1,20","1,19%","3,43%","-0,10%","1,01",N/A,N/A
SNCI11,Títulos e Val. Mob.,"R$ 93,98",6418.0,"R$ 1,00","1,04%","2,07%","-0,91%","0,97",N/A,N/A
SNFF11,Títulos e Val. Mob.,"R$ 82,65",1982.0,"R$ 0,65","0,77%","1,52%","-3,47%","0,93",N/A,N/A
SNID11,Renda,"R$ 101,00",1023.0,"R$ 0,04","0,04%","0,04%","0,00%",N/A,N/A,N/A
SNLG11,Logística,"R$ 35,79",514.0,"R$ 0,35","0,91%","0,91%","0,00%","0,58","0,00%",N/A
SPTW11,Lajes Corporativas,"R$ 38,24",1859.0,"R$ 0,42","1,09%","3,20%","-1,15%","0,68","0,00%",N/A
SPVJ11,Outros,N/A,N/A,"R$ 0,70","0,00%",N/A,"0,00%",N/A,N/A,N/A
SRVD11,Títulos e Val. Mob.,"R$ 7,07",5.0,"R$ 0,10","1,01%","1,01%","0,00%","9,56",N/A,N/A
STRX11,Híbrido,"R$ 22,96",3180000.0,"R$ 0,72","0,00%",N/A,"0,00%","0,14",N/A,N/A
TEPP11,Lajes Corporativas,"R$ 70,64",5631.0,"R$ 0,51","0,75%","2,21%","1,04%","0,74","9,06%","18,03%"
TGAR11,Outros,"R$ 108,66",30825.0,"R$ 1,34","1,21%","3,46%","-1,84%","0,83",N/A,N/A
TORD11,Outros,"R$ 3,80",88633.0,"R$ 0,05","0,93%","0,93%","0,00%","0,27",N/A,N/A
TRNT11,Lajes Corporativas,"R$ 100,01",1.0,"R$ 0,47","0,44%","0,76%","-14,31%","0,51","49,90%",N/A
TRXF11,Outros,"R$ 103,25",16892.0,"R$ 0,85","0,83%","2,46%","-1,83%","1,00","0,00%",N/A
URPR11,Outros,"R$ 88,32",42916.0,"R$ 1,33","1,44%","3,99%","-7,06%","0,89",N/A,N/A
VCJR11,Títulos e Val. Mob.,"R$ 85,26",18774.0,"R$ 1,20","1,39%","3,65%","-2,41%","0,90",N/A,N/A
VCRA11,Títulos e Valores Mobiliários,"R$ 100,00",5077.0,"R$ 1,50","1,48%","3,79%","-4,88%","0,98",N/A,N/A
VCRI11,,"R$ 7,94",17032.0,"R$ 0,11","1,39%","3,92%","-7,83%","0,84",N/A,N/A
VCRR11,Residencial,"R$ 71,20",578.0,"R$ 0,67","0,97%","2,87%","-0,20%","0,56",N/A,N/A
VGHF11,Títulos e Val. Mob.,"R$ 8,65",192872.0,"R$ 0,10","1,13%","3,34%","-2,11%","0,95",N/A,N/A
VGIA11,Títulos e Val. Mob.,"R$ 9,87",301745.0,"R$ 0,14","1,43%","2,96%","0,41%","1,04",N/A,N/A
VGIP11,Outros,"R$ 79,52",14638.0,"R$ 0,87","1,06%","2,05%","1,36%","0,88",N/A,N/A
VGIR11,Títulos e Val. Mob.,"R$ 9,45",242886.0,"R$ 0,12","1,25%","2,61%","0,21%","0,98",N/A,N/A
VIFI11,Títulos e Val. Mob.,"R$ 6,62",2079.0,"R$ 0,07","1,01%","2,90%","-4,72%","0,78",N/A,N/A
VILG11,Logística,"R$ 89,14",19798.0,"R$ 0,65","0,77%","2,10%","-3,23%","0,80","0,00%",N/A
